,Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,Provincia
279,2019,4,126636.0,504.0,127140.0,,Río Negro
280,2019,4,172443.0,2.0,172445.0,,Salta
281,2019,4,64715.0,259.0,64974.0,,San Juan
282,2019,4,108053.0,148.0,108201.0,,San Luis
283,2019,4,39170.0,200.0,39370.0,,Santa Cruz
284,2019,4,769019.0,150.0,769169.0,,Santa Fe
285,2019,4,103587.0,1.0,103588.0,,Santiago Del Estero
286,2019,4,40101.0,291.0,40392.0,,Tierra Del Fuego
287,2019,4,198621.0,23.0,198644.0,,Tucumán
288,2019,3,3950114.0,10.119,3960233.0,,Buenos Aires
289,2019,3,1437734.0,3.477,1441211.0,,Capital Federal
290,2019,3,32391.0,9.0,32400.0,,Catamarca
291,2019,3,114438.0,13.0,114451.0,,Chaco
292,2019,3,87481.0,1.524,89005.0,,Chubut
293,2019,3,782946.0,107.0,783053.0,,Córdoba
294,2019,3,112749.0,10.0,112759.0,,Corrientes
295,2019,3,238057.0,45.0,238102.0,,Entre Ríos
296,2019,3,46066.0,0.0,46066.0,,Formosa
297,2019,3,86575.0,1.0,86576.0,,Jujuy
298,2019,3,90559.0,269.0,90828.0,,La Pampa
299,2019,3,49659.0,18.0,49677.0,,La Rioja
300,2019,3,223015.0,1.322,224337.0,,Mendoza
301,2019,3,133883.0,0.0,133883.0,,Misiones
302,2019,3,123435.0,1.986,125421.0,,Neuquén
303,2019,3,143391.0,904.0,144295.0,,Río Negro
304,2019,3,151834.0,1.0,151835.0,,Salta
305,2019,3,72535.0,563.0,73098.0,,San Juan
306,2019,3,122409.0,291.0,122700.0,,San Luis
307,2019,3,37642.0,328.0,37970.0,,Santa Cruz
308,2019,3,760706.0,228.0,760934.0,,Santa Fe
309,2019,3,133130.0,2.0,133132.0,,Santiago Del Estero
310,2019,3,48043.0,544.0,48587.0,,Tierra Del Fuego
311,2019,3,164099.0,32.0,164131.0,,Tucumán
312,2019,2,3845594.0,10.104,3855698.0,,Buenos Aires
313,2019,2,1412177.0,3.443,1415620.0,,Capital Federal
314,2019,2,33626.0,9.0,33635.0,,Catamarca
315,2019,2,108721.0,13.0,108734.0,,Chaco
316,2019,2,86038.0,1.518,87556.0,,Chubut
317,2019,2,775023.0,105.0,775128.0,,Córdoba
318,2019,2,111539.0,10.0,111549.0,,Corrientes
319,2019,2,235780.0,44.0,235824.0,,Entre Ríos
320,2019,2,46438.0,0.0,46438.0,,Formosa
321,2019,2,86706.0,1.0,86707.0,,Jujuy
322,2019,2,89937.0,268.0,90205.0,,La Pampa
323,2019,2,50283.0,18.0,50301.0,,La Rioja
324,2019,2,222535.0,1.322,223857.0,,Mendoza
325,2019,2,132878.0,0.0,132878.0,,Misiones
326,2019,2,120954.0,1.999,122953.0,,Neuquén
327,2019,2,137632.0,915.0,138547.0,,Río Negro
328,2019,2,142567.0,1.0,142568.0,,Salta
329,2019,2,69461.0,564.0,70025.0,,San Juan
330,2019,2,117094.0,291.0,117385.0,,San Luis
331,2019,2,30225.0,325.0,30550.0,,Santa Cruz
332,2019,2,743258.0,226.0,743484.0,,Santa Fe
333,2019,2,126752.0,2.0,126754.0,,Santiago Del Estero
334,2019,2,46910.0,544.0,47454.0,,Tierra Del Fuego
335,2019,2,166299.0,32.0,166331.0,,Tucumán
336,2019,1,3736563.0,10.104,3746667.0,,Buenos Aires
337,2019,1,1396157.0,3.443,1399600.0,,Capital Federal
338,2019,1,33613.0,9.0,33622.0,,Catamarca
339,2019,1,103664.0,13.0,103677.0,,Chaco
340,2019,1,78260.0,1.518,79778.0,,Chubut
341,2019,1,744010.0,105.0,744115.0,,Córdoba
342,2019,1,102477.0,10.0,102487.0,,Corrientes
343,2019,1,232403.0,44.0,232447.0,,Entre Ríos
344,2019,1,45211.0,0.0,45211.0,,Formosa
345,2019,1,90146.0,1.0,90147.0,,Jujuy
346,2019,1,88892.0,268.0,89160.0,,La Pampa
347,2019,1,51638.0,18.0,51656.0,,La Rioja
348,2019,1,204976.0,1.322,206298.0,,Mendoza
349,2019,1,122720.0,0.0,122720.0,,Misiones
350,2019,1,112321.0,2.056,114377.0,,Neuquén
351,2019,1,120173.0,915.0,121088.0,,Río Negro
352,2019,1,136019.0,1.0,136020.0,,Salta
353,2019,1,61881.0,564.0,62445.0,,San Juan
354,2019,1,96044.0,291.0,96335.0,,San Luis
355,2019,1,24580.0,325.0,24905.0,,Santa Cruz
356,2019,1,736851.0,227.0,737078.0,,Santa Fe
357,2019,1,89851.0,2.0,89853.0,,Santiago Del Estero
358,2019,1,45903.0,544.0,46447.0,,Tierra Del Fuego
359,2019,1,171970.0,32.0,172002.0,,Tucumán
360,2018,4,3626502.0,10.104,3636606.0,,Buenos Aires
361,2018,4,1385577.0,3.443,1389020.0,,Capital Federal
