,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
3709,CORDOBA,Santa María,Milenica,--,--,--,--,SI,SI,--,--,--
3710,CORDOBA,Santa María,Monte Ralo,--,--,--,--,SI,SI,--,SI,--
3711,CORDOBA,Santa María,Potrero de Garay,--,--,--,SI,SI,SI,SI,SI,--
3712,CORDOBA,Santa María,Rafael García,--,--,--,--,SI,--,SI,SI,--
3713,CORDOBA,Santa María,San Clemente,--,--,--,--,SI,SI,SI,--,--
3714,CORDOBA,Santa María,San Nicolás,SI,--,--,--,SI,SI,SI,--,--
3715,CORDOBA,Santa María,Socavones,--,--,--,--,--,--,--,--,--
3716,CORDOBA,Santa María,Tejas Tres,--,--,--,--,--,--,--,--,--
3717,CORDOBA,Santa María,Tierra Alta,--,--,--,--,--,--,--,--,--
3718,ENTRE RIOS,Colón,La Clarita,--,--,--,--,SI,--,SI,SI,--
3719,ENTRE RIOS,Colón,Pueblo Cazes,--,--,--,--,--,--,--,SI,--
3720,ENTRE RIOS,Colón,Pueblo Liebig's,--,--,--,--,SI,SI,SI,SI,--
3721,ENTRE RIOS,Colón,San José,SI,--,--,--,SI,SI,SI,SI,--
3722,ENTRE RIOS,Colón,Ubajay,SI,--,--,SI,SI,SI,SI,SI,--
3723,ENTRE RIOS,Colón,Villa Elisa,SI,SI,--,SI,SI,SI,SI,SI,--
3724,ENTRE RIOS,Concordia,Benito Legeren,--,--,--,--,SI,SI,--,--,--
3725,ENTRE RIOS,Concordia,Calabacilla,--,--,--,--,SI,SI,--,SI,--
3726,ENTRE RIOS,Concordia,Clodomiro Ledesma,--,--,--,--,SI,--,--,SI,--
3727,ENTRE RIOS,Concordia,Colonia Ayuí,--,--,--,--,SI,SI,SI,SI,--
3728,ENTRE RIOS,Concordia,Colonia General Roca,--,--,--,--,--,--,--,--,--
3729,ENTRE RIOS,Concordia,Colonia Yeruá,--,--,--,--,--,--,--,--,--
3730,ENTRE RIOS,Concordia,Concordia,SI,SI,--,SI,SI,SI,SI,SI,SI
3731,ENTRE RIOS,Concordia,El Redomón,--,--,--,--,--,--,--,--,--
3732,ENTRE RIOS,Concordia,Estación Yeruá,--,--,--,--,SI,--,SI,SI,--
3733,ENTRE RIOS,Concordia,Estación Yuquerí,--,--,--,--,--,--,--,SI,--
3734,ENTRE RIOS,Concordia,Estancia Grande,--,--,--,--,SI,--,--,SI,--
3735,ENTRE RIOS,Concordia,La Criolla,--,--,--,--,SI,SI,SI,SI,SI
3736,ENTRE RIOS,Concordia,Las Tejas,--,--,--,--,SI,SI,--,--,--
3737,ENTRE RIOS,Concordia,Los Charrúas,--,--,--,--,SI,SI,SI,SI,--
